DatasetID,Parameter,Code,ParameterID,AQSCode,Units,Description
10001,Carbon Elemental Fraction 1 (Fine),EC1f,115,88329,µg/m^3 LC,-999
10001,Carbon Elemental Fraction 2 (Fine),EC2f,116,88330,µg/m^3 LC,-999
10001,Carbon Elemental Fraction 3 (Fine),EC3f,117,88331,µg/m^3 LC,-999
10001,Carbon Elemental Total (Fine),ECf,114,88307,µg/m^3 LC,From TOR carbon fractions (E1+E2+E3-OP)
10001,Carbon Elemental Total (Fine) by UCD,EC_UCD,3778,88307,µg/m^3 LC,Total elemental carbon as calculated by the Air Quality Group at Crocker Nuclear Laboratory U.C. Davis by blank correcting EC with the median monthly blank values for EC.
10001,Carbon Organic Fraction 1 (Fine),OC1f,142,88332,µg/m^3 LC,-999
10001,Carbon Organic Fraction 2 (Fine),OC2f,142,88333,µg/m^3 LC,-999
10001,Carbon Organic Fraction 3 (Fine),OC3f,143,88334,µg/m^3 LC,-999
10001,Carbon Organic Fraction 4 (Fine),OC4f,144,88335,µg/m^3 LC,-999
10001,Carbon Organic Mass (Fine) (1.8*OC),OMCf,3016,88350,µg/m^3 LC,1.8 * OC
10001,Carbon Organic Pyrolized (Fine) by Reflectance,OPf,146,88336,µg/m^3 LC,-999
10001,Carbon Organic Pyrolized (Fine) by Transmittance,OPTf,3699,88336,µg/m^3 LC,-999
10001,Carbon Organic Total (Fine),OCf,141,88320,µg/m^3 LC,From TOR carbon fractions (OC1+OC2+OC3+OC4+OP)
10001,Carbon Organic Total (Fine) by UCD,OC_UCD,3779,88307,µg/m^3 LC,Total organic carbon as calculated by the Air Quality Group at Crocker Nuclear Laboratory U.C. Davis by blank correcting OC with the median monthly blank values for OC.
10001,Carbon Total (Fine),TCf,3217,-999,µg/m^3 LC,From TOR carbon fractions (OC1+OC2+OC3+OC4+E1+E2+E3)
